Time,Model,Feature Type,Train Accuracy,Train Log Loss,Val Accuracy,Val Log Loss,Test Accuracy,Test Log Loss,Classification Report,Train Time (s),Best Params,Confusion Matrix Path
2024-10-09 03:11:22,FastText,"Word Embeddings, Character n-grams",,,0.8175980063260807,,,,N/A,1.0718727111816406,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 1, 'dim': 50, 'loss': 'ova'}",
2024-10-09 03:11:23,FastText,"Word Embeddings, Character n-grams",,,0.793923128534458,,,,N/A,1.3948874473571777,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 1, 'dim': 100, 'loss': 'softmax'}",
2024-10-09 03:11:25,FastText,"Word Embeddings, Character n-grams",,,0.8189399022332982,,,,N/A,1.2925291061401367,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 1, 'dim': 100, 'loss': 'ova'}",
2024-10-09 03:11:27,FastText,"Word Embeddings, Character n-grams",,,0.7936355794114828,,,,N/A,1.8524518013000488,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 1, 'dim': 200, 'loss': 'softmax'}",
2024-10-09 03:11:29,FastText,"Word Embeddings, Character n-grams",,,0.8168312086648136,,,,N/A,1.8389031887054443,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 1, 'dim': 200, 'loss': 'ova'}",
2024-10-09 03:11:30,FastText,"Word Embeddings, Character n-grams",,,0.8358094507811751,,,,N/A,1.4561352729797363,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 2, 'dim': 50, 'loss': 'softmax'}",
2024-10-09 03:11:32,FastText,"Word Embeddings, Character n-grams",,,0.839930988210486,,,,N/A,1.4806318283081055,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 2, 'dim': 50, 'loss': 'ova'}",
2024-10-09 03:11:34,FastText,"Word Embeddings, Character n-grams",,,0.8368637975654174,,,,N/A,1.997560739517212,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 2, 'dim': 100, 'loss': 'softmax'}",
2024-10-09 03:11:36,FastText,"Word Embeddings, Character n-grams",,,0.8406977858717531,,,,N/A,2.01462721824646,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 2, 'dim': 100, 'loss': 'ova'}",
2024-10-09 03:11:39,FastText,"Word Embeddings, Character n-grams",,,0.8358094507811751,,,,N/A,3.0456595420837402,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 2, 'dim': 200, 'loss': 'softmax'}",
2024-10-09 03:11:42,FastText,"Word Embeddings, Character n-grams",,,0.8395475893798524,,,,N/A,3.028388500213623,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 2, 'dim': 200, 'loss': 'ova'}",
2024-10-09 03:11:44,FastText,"Word Embeddings, Character n-grams",,,0.8397392887951691,,,,N/A,1.7515854835510254,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 3, 'dim': 50, 'loss': 'softmax'}",
2024-10-09 03:11:45,FastText,"Word Embeddings, Character n-grams",,,0.8445317741780888,,,,N/A,1.7297296524047852,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 3, 'dim': 50, 'loss': 'ova'}",
2024-10-09 03:11:48,FastText,"Word Embeddings, Character n-grams",,,0.8409853349947283,,,,N/A,2.2257273197174072,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 3, 'dim': 100, 'loss': 'softmax'}",
2024-10-09 03:11:50,FastText,"Word Embeddings, Character n-grams",,,0.84386082622448,,,,N/A,2.2274396419525146,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 3, 'dim': 100, 'loss': 'ova'}",
2024-10-09 03:11:54,FastText,"Word Embeddings, Character n-grams",,,0.8407936355794114,,,,N/A,3.577324390411377,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 3, 'dim': 200, 'loss': 'softmax'}",
2024-10-09 03:11:58,FastText,"Word Embeddings, Character n-grams",,,0.8450110227163807,,,,N/A,3.886256694793701,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 3, 'dim': 200, 'loss': 'ova'}",
2024-10-09 03:11:58,FastText,"Word Embeddings, Character n-grams",,,0.8096424805904342,,,,N/A,0.6687221527099609,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 1, 'dim': 50, 'loss': 'softmax'}",
2024-10-09 03:11:59,FastText,"Word Embeddings, Character n-grams",,,0.8284290232914789,,,,N/A,0.5052609443664551,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 1, 'dim': 50, 'loss': 'ova'}",
2024-10-09 03:11:59,FastText,"Word Embeddings, Character n-grams",,,0.8089715326368254,,,,N/A,0.6279981136322021,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 1, 'dim': 100, 'loss': 'softmax'}",
2024-10-09 03:12:00,FastText,"Word Embeddings, Character n-grams",,,0.8281414741685038,,,,N/A,0.6184446811676025,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 1, 'dim': 100, 'loss': 'ova'}",
2024-10-09 03:12:01,FastText,"Word Embeddings, Character n-grams",,,0.8082047349755583,,,,N/A,0.8483121395111084,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 1, 'dim': 200, 'loss': 'softmax'}",
2024-10-09 03:12:02,FastText,"Word Embeddings, Character n-grams",,,0.8288124221221125,,,,N/A,0.8490033149719238,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 1, 'dim': 200, 'loss': 'ova'}",
2024-10-09 03:12:03,FastText,"Word Embeddings, Character n-grams",,,0.8379181443496597,,,,N/A,0.8177785873413086,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 2, 'dim': 50, 'loss': 'softmax'}",
2024-10-09 03:12:04,FastText,"Word Embeddings, Character n-grams",,,0.8383973928879517,,,,N/A,0.8437836170196533,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 2, 'dim': 50, 'loss': 'ova'}",
2024-10-09 03:12:05,FastText,"Word Embeddings, Character n-grams",,,0.8375347455190262,,,,N/A,1.2309203147888184,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 2, 'dim': 100, 'loss': 'softmax'}",
2024-10-09 03:12:06,FastText,"Word Embeddings, Character n-grams",,,0.8400268379181444,,,,N/A,1.14225172996521,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 2, 'dim': 100, 'loss': 'ova'}",
2024-10-09 03:12:08,FastText,"Word Embeddings, Character n-grams",,,0.8359053004888335,,,,N/A,1.9425313472747803,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 2, 'dim': 200, 'loss': 'softmax'}",
2024-10-09 03:12:10,FastText,"Word Embeddings, Character n-grams",,,0.8406977858717531,,,,N/A,1.8328120708465576,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 2, 'dim': 200, 'loss': 'ova'}",
2024-10-09 03:12:11,FastText,"Word Embeddings, Character n-grams",,,0.842135531486629,,,,N/A,0.9758381843566895,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 3, 'dim': 50, 'loss': 'softmax'}",
2024-10-09 03:12:12,FastText,"Word Embeddings, Character n-grams",,,0.8447234735934055,,,,N/A,0.9298338890075684,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 3, 'dim': 50, 'loss': 'ova'}",
2024-10-09 03:12:13,FastText,"Word Embeddings, Character n-grams",,,0.8417521326559954,,,,N/A,1.3595962524414062,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 3, 'dim': 100, 'loss': 'softmax'}",
2024-10-09 03:12:15,FastText,"Word Embeddings, Character n-grams",,,0.8441483753474552,,,,N/A,1.3558013439178467,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 3, 'dim': 100, 'loss': 'ova'}",
2024-10-09 03:12:17,FastText,"Word Embeddings, Character n-grams",,,0.8430940285632129,,,,N/A,2.0534744262695312,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 3, 'dim': 200, 'loss': 'softmax'}",
2024-10-09 03:12:19,FastText,"Word Embeddings, Character n-grams",,,0.8448193233010639,,,,N/A,2.071428060531616,"{'lr': 0.5, 'epoch': 20, 'wordNgrams': 3, 'dim': 200, 'loss': 'ova'}",
2024-10-09 03:12:20,FastText,"Word Embeddings, Character n-grams",,,0.8004409086552287,,,,N/A,0.8900227546691895,"{'lr': 0.5, 'epoch': 30, 'wordNgrams': 1, 'dim': 50, 'loss': 'softmax'}",
2024-10-09 03:12:21,FastText,"Word Embeddings, Character n-grams",,,0.8219112431707083,,,,N/A,0.7386868000030518,"{'lr': 0.5, 'epoch': 30, 'wordNgrams': 1, 'dim': 50, 'loss': 'ova'}",
2024-10-09 03:12:22,FastText,"Word Embeddings, Character n-grams",,,0.8006326080705454,,,,N/A,0.9503035545349121,"{'lr': 0.5, 'epoch': 30, 'wordNgrams': 1, 'dim': 100, 'loss': 'softmax'}",
2024-10-09 03:12:23,FastText,"Word Embeddings, Character n-grams",,,0.8213361449247579,,,,N/A,0.9581520557403564,"{'lr': 0.5, 'epoch': 30, 'wordNgrams': 1, 'dim': 100, 'loss': 'ova'}",
2024-10-09 03:12:24,FastText,"Word Embeddings, Character n-grams",,,0.8007284577782038,,,,N/A,1.299896240234375,"{'lr': 0.5, 'epoch': 30, 'wordNgrams': 1, 'dim': 200, 'loss': 'softmax'}",
2024-10-09 03:12:25,FastText,"Word Embeddings, Character n-grams",,,0.8204734975558324,,,,N/A,1.3008356094360352,"{'lr': 0.5, 'epoch': 30, 'wordNgrams': 1, 'dim': 200, 'loss': 'ova'}",
2024-10-09 03:12:27,FastText,"Word Embeddings, Character n-grams",,,0.8384932425956101,,,,N/A,1.1596009731292725,"{'lr': 0.5, 'epoch': 30, 'wordNgrams': 2, 'dim': 50, 'loss': 'softmax'}",
2024-10-09 03:12:28,FastText,"Word Embeddings, Character n-grams",,,0.8400268379181444,,,,N/A,1.164764165878296,"{'lr': 0.5, 'epoch': 30, 'wordNgrams': 2, 'dim': 50, 'loss': 'ova'}",
2024-10-09 03:12:29,FastText,"Word Embeddings, Character n-grams",,,0.8370554969807342,,,,N/A,1.572650671005249,"{'lr': 0.5, 'epoch': 30, 'wordNgrams': 2, 'dim': 100, 'loss': 'softmax'}",
2024-10-09 03:12:31,FastText,"Word Embeddings, Character n-grams",,,0.8414645835330202,,,,N/A,1.483025074005127,"{'lr': 0.5, 'epoch': 30, 'wordNgrams': 2, 'dim': 100, 'loss': 'ova'}",
